imdbID,Title,Year,Rating,Runtime,Genre,Released,Director,Writer,Cast,Metacritic,imdbRating,imdbVotes,Poster,Plot,Language,Country,Awards,lastUpdated
tt1672723,"Batman: Year One",2011,PG-13,"64 min","Animation, Action, Crime",2011-10-18,"Sam Liu, Lauren Montgomery","Bob Kane (Batman created by), Frank Miller (graphic novel), David Mazzucchelli (graphic novel), Tab Murphy","Bryan Cranston, Ben McKenzie, Eliza Dushku, Jon Polito",N/A,7.4,14,http://ia.media-imdb.com/images/M/MV5BMjE2MzMxNDQ1NF5BMl5BanBnXkFtZTcwNzE1NTI5Ng@@._V1_SX300.jpg,"A wealthy playboy and a Chicago cop both return to Gotham City where their lives will intersect in unexpected ways.","English, French, Spanish",USA,N/A,"2014-11-01 00:10:53"
tt1674784,Trespass,2011,R,"91 min","Crime, Drama, Thriller",2011-10-21,"Joel Schumacher","Karl Gajdusek","Nicolas Cage, Nicole Kidman, Ben Mendelsohn, Liana Liberato",37,5.3,28,http://ia.media-imdb.com/images/M/MV5BMTM4NTc0Mzk5N15BMl5BanBnXkFtZTcwNDA4NDUyNg@@._V1_SX300.jpg,"As they're held for ransom, a husband and wife's predicament grows more dire amid the discovery of betrayal and deception.",English,USA,"2 nominations.","2014-11-02 00:02:12"
tt1675192,"Take Shelter",2011,R,"120 min","Drama, Thriller",2011-11-10,"Jeff Nichols","Jeff Nichols","Michael Shannon, Jessica Chastain, Tova Stewart, Shea Whigham",85,7.4,53,http://ia.media-imdb.com/images/M/MV5BNzgzODA5MTU3MF5BMl5BanBnXkFtZTcwODY4MDEwNg@@._V1_SX300.jpg,"Plagued by a series of apocalyptic visions, a young husband and father questions whether to shelter his family from a coming storm, or from himself.",English,USA,"42 wins & 26 nominations.","2014-10-30 00:07:36"
tt1675276,"Dan Vs.",2011,TV-PG,"22 min","Animation, Action, Comedy",2011-01-01,N/A,N/A,"Curtis Armstrong, Paget Brewster, Dave Foley, Dan Mandel",N/A,8.0,487,http://ia.media-imdb.com/images/M/MV5BNzAzOTM3Njk3N15BMl5BanBnXkFtZTgwNTg2NjA4MTE@._V1_SX300.jpg,"A rude and selfish lunatic named Dan tries to get revenge on anyone and anything that he wants to stop from angering him. He gets his dimwitted best friend Chris and (sometimes) Chris' ...",English,USA,"1 win & 7 nominations.","2014-10-31 00:20:34"
tt1677082,Return,2011,"Not Rated","97 min",Drama,2012-02-10,"Liza Johnson","Liza Johnson","Linda Cardellini, Michael Shannon, John Slattery, Talia Balsam",63,6.1,658,http://ia.media-imdb.com/images/M/MV5BMTY5MTM4NzUwMl5BMl5BanBnXkFtZTcwMzMwNTIyNw@@._V1_SX300.jpg,"A soldier returns to her family, friends, and old job after a tour of duty, though she finds herself struggling to find her place in her everyday life.",English,USA,"1 win & 3 nominations.","2014-10-14 00:15:06"
tt1679235,"Mean Girls 2",2011,PG-13,"96 min",Comedy,2011-01-23,"Melanie Mayron","Allison Schroeder, Elana Lesser, Cliff Ruby","Meaghan Martin, Donn Lamkin, Linden Ashby, Dan Coleman",N/A,4.1,11,http://ia.media-imdb.com/images/M/MV5BMTYzMjUxNjQ3OF5BMl5BanBnXkFtZTcwMzgyMTkyNA@@._V1_SX300.jpg,"The Plastics are back in the long awaited follow-up to the smash-hit Mean Girls... and now the clique is more fashionable, funny and ferocious than ever!",English,USA,N/A,"2014-10-29 00:26:09"
tt1679750,"Part Two",2011,TV-MA,"62 min",Drama,2011-03-27,"Todd Haynes","James M. Cain (novel), Todd Haynes (teleplay), Jonathan Raymond (teleplay)","Kate Winslet, Brï¿½an F. O'Byrne, Melissa Leo, Morgan Turner",N/A,8.0,234,http://ia.media-imdb.com/images/M/MV5BMTg5Njc2NTg2NF5BMl5BanBnXkFtZTgwOTAwMDg5MjE@._V1_SX300.jpg,"Mildred brings a sample of her pies into the diner and they're a big hit with the customers. Soon she gets an order for 35 pies a week and the orders start to pile up from other restaurants...",English,USA,N/A,"2014-10-19 00:06:14"
tt1680059,"Born to Be Wild",2011,G,"40 min","Documentary, Short, Adventure",2011-04-08,"David Lickley","Drew Fellman","Morgan Freeman, Birute Galdikas, Daphne Sheldrick",66,7.5,2,http://ia.media-imdb.com/images/M/MV5BMTM2NTE5MTcyOF5BMl5BanBnXkFtZTcwNjA1NzExNA@@._V1_SX300.jpg,"This heartwarming film documents orphaned orangutans and elephants and the extraordinary people who rescue and raise them-saving endangered species one life at a time.",English,USA,"2 wins.","2014-10-09 00:05:00"
tt1680119,"The Disco Exorcist",2011,Unrated,"80 min","Comedy, Horror",2011-10-15,"Richard Griffin","Ted Geoghegan (revisions), Tony Nunes (screenplay)","Michael Reed, Sarah Nicklin, Ruth Sullivan, David Adams Murphy",N/A,3.7,155,http://ia.media-imdb.com/images/M/MV5BNzc2MzQzMzc3NV5BMl5BanBnXkFtZTgwNDU5MjE1MDE@._V1_SX300.jpg,"Suave swinger and womanizer Rex Romanski loves and leaves evil black magic priestess Rita Marie. Naturally, Rex incurs Rita's lethal wrath by spurning her. Can Rex figure out a way to stop ...",English,USA,N/A,"2014-11-01 00:33:34"
tt1680138,"Mega Python vs. Gatoroid",2011,TV-14,"91 min","Action, Horror, Sci-Fi",2011-01-29,"Mary Lambert","Naomi L. Selfman (screenplay)","Tiffany, Deborah Gibson, A Martinez, Kathryn Joosten",N/A,3.0,2,http://ia.media-imdb.com/images/M/MV5BMjEwODY1ODQ3Nl5BMl5BanBnXkFtZTgwMTAyMjM5MTE@._V1_SX300.jpg,"There's a crisis in the Florida Everglades as giant pythons are threatening the alligator population.",English,USA,N/A,"2014-10-28 00:29:22"
tt1681778,"Episode One",2011,TV-MA,"29 min",Comedy,2011-01-09,"James Griffiths","David Crane (creator), Jeffrey Klarik (creator), David Crane, Jeffrey Klarik","Matt LeBlanc, Stephen Mangan, Tamsin Greig, John Pankow",N/A,6.9,321,http://ia.media-imdb.com/images/M/MV5BMjEwNjAyNDIyOV5BMl5BanBnXkFtZTcwNDM5MjgxNA@@._V1_SX300.jpg,"BAFTA-winning sitcom Lyan's Boys script writers Sean and Beverly Lincoln are startled by US studio boss Merc Lapidus's offer to work on a remake in Hollywood. Sean persuades suspicious Bev,...",English,"USA, UK",N/A,"2014-05-19 00:55:02"
tt1681779,"Episode Two",2011,TV-MA,"28 min",Comedy,2011-01-16,"James Griffiths","David Crane (creator), Jeffrey Klarik (creator), David Crane, Jeffrey Klarik","Matt LeBlanc, Tamsin Greig, Stephen Mangan, John Pankow",N/A,7.5,270,http://ia.media-imdb.com/images/M/MV5BMjYwMDc4NDUyNl5BMl5BanBnXkFtZTcwMzA4NzYzNA@@._V1_SX300.jpg,"Sean and Beverly are still reeling from the network's decision to cast Matt LeBlanc as the star of their show. But when they meet him at a swanky LA dinner party at Merc's house, Matt ...",English,"USA, UK",N/A,"2014-09-03 00:02:50"
tt1682181,Bully,2011,PG-13,"98 min",Documentary,2012-04-27,"Lee Hirsch","Cynthia Lowen, Lee Hirsch","Ja'Meya Jackson, Kelby Johnson, Lona Johnson, Bob Johnson",74,7.4,7,http://ia.media-imdb.com/images/M/MV5BNjk1MjYzNzUxOF5BMl5BanBnXkFtZTcwOTQyODU2Nw@@._V1_SX300.jpg,"A documentary on peer-to-peer bullying in schools across America.",English,USA,"9 wins & 12 nominations.","2014-10-25 00:07:17"
tt1682246,"Girl Walks Into a Bar",2011,R,"80 min","Comedy, Drama",2011-03-11,"Sebastian Gutierrez","Sebastian Gutierrez","Gil Bellows, Xander Berkeley, Alexis Bledel, Emmanuelle Chriqui",N/A,5.8,3,http://ia.media-imdb.com/images/M/MV5BMjA3NzI2NjkxOV5BMl5BanBnXkFtZTcwNTg1MDI2NA@@._V1_SX300.jpg,"A sharp-witted comedy that follows a group of apparent strangers in interlocking stories taking place in ten different bars during the course of one evening throughout Los Angeles.",English,USA,N/A,"2014-11-06 00:37:19"
tt1682446,"Chuck Versus the Balcony",2011,TV-14,"40 min","Action, Comedy, Drama",2011-01-17,"Jay Chandrasekhar","Josh Schwartz (creator), Chris Fedak (creator), Max Denby","Zachary Levi, Yvonne Strahovski, Joshua Gomez, Ryan McPartlin",N/A,8.4,503,http://ia.media-imdb.com/images/M/MV5BMjA4OTg5OTUyM15BMl5BanBnXkFtZTcwMjczNjY5Ng@@._V1_SX300.jpg,"Chuck and Sarah try to combine a romantic French getaway with a mission to find a specialized microchip. Lester asks Big Mike for romantic advice.",English,USA,N/A,"2014-07-16 05:05:53"
tt1682447,"Chuck Versus the Gobbler",2011,TV-PG,"43 min","Action, Comedy, Drama",2011-01-24,"Milan Cheylov","Josh Schwartz (creator), Chris Fedak (creator), Craig DiGregorio","Zachary Levi, Yvonne Strahovski, Joshua Gomez, Ryan McPartlin",N/A,8.3,463,http://ia.media-imdb.com/images/M/MV5BMjA4OTg5OTUyM15BMl5BanBnXkFtZTcwMjczNjY5Ng@@._V1_SX300.jpg,"Chuck becomes worried when Sarah goes to extreme measures to help his mother take down Alexei Volkoff. Ellie and Devon have trouble deciding the name of their new baby.",English,USA,N/A,"2014-07-29 00:16:10"
tt1683043,"Green Lantern: Emerald Knights",2011,PG,"84 min","Animation, Action, Adventure",2011-06-07,"Christopher Berkeley, Lauren Montgomery, Jay Oliva","Michael Green, Marc Guggenheim, Peter Tomasi (story), Chris Samnee (story), Peter Tomasi, Dave Gibbons (story), Dave Gibbons, Kevin O'Neill (story), Geoff Johns, Alan Burnett (story), Geoff Johns (story), Alan Burnett (screenplay), Todd Casey (screenplay), Ruben Diaz (story), Travis Charest (story), Eddie Berganza","Nathan Fillion, Jason Isaacs, Elisabeth Moss, Henry Rollins",N/A,6.9,6,http://ia.media-imdb.com/images/M/MV5BMTMyNzU4Nzk0Nl5BMl5BanBnXkFtZTcwMTc2MjQ4NA@@._V1_SX300.jpg,"As the home planet of the Green Lantern Corps faces a battle with an ancient enemy, Hal Jordan prepares new recruit Arisia for the coming conflict by relating stories of the first Green Lantern and several of Hal's comrades.",English,USA,N/A,"2014-11-01 00:14:35"
tt1683084,"Box Cutter",2011,TV-14,"60 min","Crime, Drama, Thriller",2011-07-17,"Adam Bernstein","Vince Gilligan (created by), Vince Gilligan","Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris",N/A,8.8,5,http://ia.media-imdb.com/images/M/MV5BMTA2NzQzODA3OTdeQTJeQWpwZ15BbWU3MDY3NjU2NzU@._V1_SX300.jpg,"Walt and Jesse are held captive for Gus, after Gale's death. Meanwhile, Skyler tries to find out what happened to Walt.",English,USA,N/A,"2014-10-31 00:16:52"
tt1683085,Salud,2011,TV-14,"47 min","Crime, Drama, Thriller",2011-09-18,"Michelle MacLaren","Vince Gilligan (created by), Peter Gould, Gennifer Hutchison","Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris",N/A,9.3,6,http://ia.media-imdb.com/images/M/MV5BMTAwNDg2MjY5NjBeQTJeQWpwZ15BbWU3MDg2NzAwNzY@._V1_SX300.jpg,"Jesse, Gus, and Mike fly down to Mexico, and Jesse cooks the blue meth for the cartel. Walt misses his son's 16th birthday after his fight with Jesse.",English,USA,N/A,"2014-09-22 00:13:40"
tt1683086,"Crawl Space",2011,TV-14,"45 min","Crime, Drama, Thriller",2011-09-25,"Scott Winant","Vince Gilligan (created by), George Mastras, Sam Catlin","Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris",N/A,9.4,7,http://ia.media-imdb.com/images/M/MV5BMTMzMTgzNzY4N15BMl5BanBnXkFtZTcwOTM5Nzc3Ng@@._V1_SX300.jpg,"Hank asks Walt to drive him to the laundry where the meth lab is hidden. Ted still won't pay the IRS so Skyler asks Saul for help, and Saul sends in his A-Team. Gus and Jesse return from Mexico, and Walt fears he is in trouble with Gus.",English,USA,N/A,"2014-10-29 00:17:41"
tt1683087,"End Times",2011,TV-14,"47 min","Crime, Drama, Thriller",2011-10-02,"Vince Gilligan","Vince Gilligan (created by), Thomas Schnauz, Moira Walley-Beckett","Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris",N/A,9.0,5,http://ia.media-imdb.com/images/M/MV5BMzcwNzM5MDQ4NF5BMl5BanBnXkFtZTcwODc4MzU4Ng@@._V1_SX300.jpg,"The DEA is putting Hank and his family in protective custody, however, Walt refuses and awaits his fate in his house. Meanwhile, Brock has fallen terribly ill and Jesse suspects Walt may be behind it.",English,USA,N/A,"2014-11-01 00:38:41"
tt1683088,"Face Off",2011,TV-14,"51 min","Crime, Drama, Thriller",2011-10-09,"Vince Gilligan","Vince Gilligan (created by), Vince Gilligan","Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris",N/A,9.8,14,http://ia.media-imdb.com/images/M/MV5BMTkzMDU5MTcxNF5BMl5BanBnXkFtZTcwOTI2NTg4Ng@@._V1_SX300.jpg,"Jesse is brought to the FBI for questioning on his knowledge of Ricin. In a last effort to kill Gus, Walt must ask for help from an old enemy.",English,USA,N/A,"2014-10-15 00:03:47"
tt1683089,"Thirty-Eight Snub",2011,TV-14,"60 min","Crime, Drama, Thriller",2011-07-24,"Michelle MacLaren","Vince Gilligan (created by), George Mastras","Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris",N/A,8.1,4,http://ia.media-imdb.com/images/M/MV5BMjI3MjM4NjgyOV5BMl5BanBnXkFtZTcwMDU3ODQwNg@@._V1_SX300.jpg,"Walt attempts to form a new alliance as he plans his next move. Meanwhile Skyler pushes Walt towards a business opportunity, in hopes of protecting the family.",English,USA,N/A,"2014-10-21 00:53:39"
tt1683090,"Open House",2011,TV-14,"47 min","Crime, Drama, Thriller",2011-07-31,"David Slade","Vince Gilligan (created by), Sam Catlin","Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris",N/A,7.9,4,http://ia.media-imdb.com/images/M/MV5BNzg1MTcxMDI2NV5BMl5BanBnXkFtZTcwMjE1MDMxNg@@._V1_SX300.jpg,"Skyler finds a way to pressure the car-wash owner into selling, while Marie goes on a series of visits to realtors' open houses. Her antics get her in trouble, and Hank has to pull a few ...",English,USA,N/A,"2014-10-16 00:51:08"
tt1683091,"Bullet Points",2011,TV-14,"47 min","Crime, Drama, Thriller",2011-08-07,"Colin Bucksey","Vince Gilligan (created by), Moira Walley-Beckett","Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris",N/A,8.7,3,http://ia.media-imdb.com/images/M/MV5BMjA0NDA2NjM2M15BMl5BanBnXkFtZTcwMzY0NDgxNg@@._V1_SX300.jpg,"Walt and Skyler have decided to use gambling to explain how Walt has made all of his money. It's not to be a happy story and Skyler insists that Walt admit to a gambling addiction and ...",English,USA,N/A,"2014-08-31 05:01:19"
tt1683092,Shotgun,2011,TV-14,"47 min","Crime, Drama, Thriller",2011-08-14,"Michelle MacLaren","Vince Gilligan (created by), Thomas Schnauz","Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris",N/A,8.3,4,http://ia.media-imdb.com/images/M/MV5BMjE4NDM3MzkzMl5BMl5BanBnXkFtZTcwNjEzODcyNg@@._V1_SX300.jpg,"In his attempt to save Jesse, Walt visits Gus' fast food restaurant but isn't quite prepared for what he learns. Nor is Jesse for that matter. In fact, he proves to be quite useful though ...",English,USA,N/A,"2014-10-31 00:07:46"
tt1683093,Cornered,2011,TV-14,"47 min","Crime, Drama, Thriller",2011-08-21,"Michael Slovis","Vince Gilligan (created by), Gennifer Hutchison","Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris",N/A,8.1,4,http://ia.media-imdb.com/images/M/MV5BMTkxODE3ODgxMV5BMl5BanBnXkFtZTcwNDcyOTYzNg@@._V1_SX300.jpg,"It's the morning after the night before and Walt has a major hangover. Skyler is now convinced that Walt is in danger but he makes sure she understands exactly how important he is to the ...",English,USA,N/A,"2014-10-13 00:00:25"
tt1683094,"Problem Dog",2011,TV-14,"47 min","Crime, Drama, Thriller",2011-08-28,"Peter Gould","Vince Gilligan (created by), Peter Gould","Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris",N/A,8.6,4,http://ia.media-imdb.com/images/M/MV5BMTA1MjUyNDM5NjZeQTJeQWpwZ15BbWU3MDg5ODQ0NDY@._V1_SX300.jpg,"The car wash is now in operation but Skyler isn't prepared for the amount of money Walt is bringing in. She also arranges for Walt to return the car he bought Walt Jr. but in the end ...",English,USA,N/A,"2014-09-22 00:32:32"
tt1683095,Hermanos,2011,TV-14,"47 min","Crime, Drama, Thriller",2011-09-04,"Johan Renck","Vince Gilligan (created by), Sam Catlin, George Mastras","Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris",N/A,8.8,5,http://ia.media-imdb.com/images/M/MV5BMjI2Nzk2NzI2NV5BMl5BanBnXkFtZTcwNjgyNDI1Ng@@._V1_SX300.jpg,"Hank's discovery of Gus Fring's fingerprint in Gale Boetticher's apartment is enough for DEA and Albuquerque PD to bring Gus in for an interview. He seems to have an answer for everything, ...",English,USA,N/A,"2014-10-30 00:47:23"
tt1683096,Bug,2011,TV-14,"47 min","Crime, Drama, Thriller",2011-09-11,"Terry McDonough","Vince Gilligan (created by), Moira Walley-Beckett, Thomas Schnauz","Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris",N/A,8.6,4,http://ia.media-imdb.com/images/M/MV5BMTQ0MTA3NTIxM15BMl5BanBnXkFtZTcwMDEwODE2Ng@@._V1_SX300.jpg,"Hank is like a dog with a bone and keeps digging into Gus Fring's business dealings despite Walt's attempts to get him to stop. When Hank learns that Gus has a warehouse operation, Mike and...",English,USA,N/A,"2014-09-23 00:33:30"
tt1683175,"Affair Remembered",2011,TV-PG,"42 min",Drama,2011-01-18,"Rick Bota","Liz Tigelaar (creator), Michael Kramer","Britt Robertson, Shiri Appleby, Kristoffer Polaha, Austin Basis",N/A,7.5,59,http://ia.media-imdb.com/images/M/MV5BMTU5MTI3Njg0NF5BMl5BanBnXkFtZTcwMzg5MzMxMw@@._V1_SX300.jpg,"While everyone's still dealing with the aftermath of secrets revealed, new revelations already happen, affecting their future. Reseolutions are needed. But the broadcaster has already ...",English,USA,N/A,"2014-01-03 00:00:00"
tt1683251,"Ships in the Night",2011,TV-14,"60 min","Action, Comedy, Crime",2011-01-11,"Thomas J. Wright","Donald P. Bellisario (created by), Don McGill (created by), Reed Steiner, Christopher J. Waild","Mark Harmon, Michael Weatherly, Cote de Pablo, Pauley Perrette",N/A,8.1,206,http://ia.media-imdb.com/images/M/MV5BMTc3MTM3MzU3OV5BMl5BanBnXkFtZTcwNTY1MTIzNA@@._V1_SX300.jpg,"A Marine first lieutenant dies of gunfire during a dinner cruise; Abigail Borin, of the CGIS, also is a guest during the same event; she, Gibbs, and the gang investigate together. They find and fit the pieces, and they nab the bad people.",English,USA,N/A,"2014-09-19 00:59:23"
tt1683252,Recruited,2011,TV-14,"60 min","Action, Comedy, Crime",2011-01-18,"Arvin Brown","Donald P. Bellisario (created by), Don McGill (created by), Gary Glasberg","Mark Harmon, Michael Weatherly, Cote de Pablo, Pauley Perrette",N/A,7.9,223,http://ia.media-imdb.com/images/M/MV5BMTMwMjEzMjA3MV5BMl5BanBnXkFtZTcwMjUyMzUzNA@@._V1_SX300.jpg,"A Navy recruiter dies after becoming shoved down a staircase at a high school in Fairfax, Virginia; Gibbs and company investigate. Dr. Magnus, Ducky's predecessor, visits. Gibbs and the gang eventually figure it out and finger the bad guy.",English,USA,N/A,"2014-09-19 00:56:12"
tt1683253,Freedom,2011,TV-14,"42 min","Action, Comedy, Crime",2011-02-01,"Craig Ross Jr.","Donald P. Bellisario (created by), Don McGill (created by), Nicole Mirante-Matthews","Mark Harmon, Michael Weatherly, Cote de Pablo, Pauley Perrette",N/A,7.7,196,http://ia.media-imdb.com/images/M/MV5BMTU3NDg5MTExMl5BMl5BanBnXkFtZTcwNzA5MzE0NA@@._V1_SX300.jpg,"Two teenagers find the battered body of a Marine Corps Reserve sergeant in his own backyard; Gibbs and company investigate. The team find evidence of sad stories. Gibbs pursues a bruise and figures it out, then the gang bust the bad guy.",English,USA,N/A,"2014-09-19 01:00:13"
tt1683254,"A Man Walks Into a Bar...",2011,TV-14,"44 min","Action, Comedy, Crime",2011-02-08,"James Whitmore Jr.","Donald P. Bellisario (created by), Don McGill (created by), Gary Glasberg","Mark Harmon, Michael Weatherly, Cote de Pablo, Pauley Perrette",N/A,8.4,316,http://ia.media-imdb.com/images/M/MV5BMTQ2MjY3NzQzMl5BMl5BanBnXkFtZTcwNDk5NTQ0NA@@._V1_SX300.jpg,"Someone shoots and kills the executive officer (XO) of a Naval vessel, a commander, in his own stateroom; Gibbs and company investigate. However, a shrink (a persistent and presumptuous one...",English,USA,N/A,"2014-09-19 00:56:40"
tt1683255,Defiance,2011,TV-14,"43 min","Action, Comedy, Crime",2011-02-15,"Dennis Smith","Donald P. Bellisario (created by), Don McGill (created by), Frank Cardea, George Schenck","Mark Harmon, Michael Weatherly, Cote de Pablo, Pauley Perrette",N/A,7.9,193,http://ia.media-imdb.com/images/M/MV5BMjAzNDY3NjM3Nl5BMl5BanBnXkFtZTcwMzkxMzg0NA@@._V1_SX300.jpg,"A US Marine dies in an explosion at a US embassy; he saves a foreign official and others; the NCIS provides security to the official's daughter in Washington, DC; kidnappers abduct her, and another man dies. The Gibbs gang figure it out.",English,USA,N/A,"2014-11-08 00:37:28"
