73.manager,ALVIN WERNEKE,DAVE DOUCET
90.manager,ALVIN WERNEKE,KEN THORALL
68.manager,RAY ADAMS,ROLAND OR BEVERLY MOODY
184.manager,MIKE MUNSEY,GREG A. ORIGER
116.manager,KEITH WILSON - PARK RANGER,TOM GRMAN
11.manager,STEPHEN HANSON,NO MANAGER
79.manager,MIKE GRAVES,LAWRENCE DAVIS
2.manager,DAN PRESLEY,NO MANAGER
92.manager,KEVIN KNOTEK,EDMUND MONT MAHONEY
176.manager,DISTRICT OFFICE MANAGER,ALVIN WERNEKE
67.manager,CITY OF KLAWOCK,NORMAN HEYANO
113.manager,DR. JOHN SPARAGA,LAWRENCE DAVIS
173.manager,STEPHEN HANSON,TOM WILLIAMS
69.manager,LEONARD KRAGNESS (AGENT FOR OWNER),RON SMITH
99.manager,TOM GRMAN,NO MANAGER
75.manager,LARRY A. LEVINE,DR. JOHN SPARAGA
175.manager,CITY OF KLAWOCK,ALVIN WERNEKE
82.manager,TIM COONS,NO MANAGER
70.manager,ROBERT JONES,NORMAN HEYANO
93.manager,CHRISTINE HELLER,EDMUND MONT MAHONEY
133.manager,KEVIN KNOTEK,ERIK WEINGARTH
172.manager,ROBERT CASSELL,TOM WILLIAMS
163.manager,ROBERT JONES,HOWARD NUGENT
138.manager,MAYOR AUDREY M. L. HUDSON,DENNIS BISHOP
1.manager,CAPE DECISION LIGHTHOUSE SOCIETY,LAWRENCE DAVIS
91.manager,MIKE GRAVES,KEN THORALL
88.manager,PAUL BOWERS A.A.E.,KEN THORALL
135.manager,CAPE DECISION LIGHTHOUSE SOCIETY,TOM WILLIAMS
87.manager,ERIK WEINGARTH,NO MANAGER
21.manager,ALVIN WERNEKE,NO MANAGER
64.manager,BILL & KAYLENE BROWN,NO MANAGER
139.manager,MAJOR ROBERT PECK,DENNIS BISHOP
140.manager,JOHN OLSEN,DENNIS BISHOP
181.manager,JOSEPH JOHNSON,NO MANAGER
200.manager,BILLY CRANFORD,KEVIN KNOTEK
74.manager,LAWERENCE DAVIS,DAVE DOUCET
109.manager,FULLER  A. COWELL,LAWRENCE DAVIS
101.manager,JOHN PARROTT,ROBERT B. FISHER
86.manager,CAPE DECISION LIGHTHOUSE SOCIETY,ERIK WEINGARTH
186.manager,DONALD PETERSON,GREG A. ORIGER
