78.genre,Thriller,Musical
177.type,TV episode,movie
119.type,TV episode,movie
145.genre,Music,Drama
145.type,movie,TV episode
37.type,TV episode,movie
119.genre,Comedy,Drama
168.type,movie,TV episode
199.genre,Action,Short
6.type,movie,TV episode
163.genre,Comedy,Biography
139.genre,Horror,Drama
52.genre,Animation,Comedy
96.type,movie,TV episode
31.genre,Music,Short
115.genre,Biography,Drama
187.genre,Drama,Comedy
199.type,movie,TV episode
100.type,TV episode,movie
123.genre,Sci-Fi,Horror
127.type,TV episode,movie
22.type,TV episode,movie
61.genre,Thriller,Horror
141.genre,Animation,Action
125.genre,Biography,Comedy
88.type,TV episode,movie
88.genre,Sci-Fi,Action
87.genre,Family,Action
39.type,TV episode,movie
185.genre,Adventure,Drama
151.type,movie,TV episode
39.genre,Action,Romance
107.type,TV episode,movie
47.genre,Musical,Short
109.type,movie,TV episode
187.type,movie,TV episode
160.genre,Romance,Short
130.type,movie,TV episode
173.type,TV episode,movie
135.type,TV episode,movie
